image_name,label_name
data/1_original_images/1_P_hgr1_id01_1.jpg,data/1_skin_masks/1_P_hgr1_id01_1.bmp
data/1_original_images/1_P_hgr1_id04_2.jpg,data/1_skin_masks/1_P_hgr1_id04_2.bmp
data/1_original_images/1_P_hgr1_id01_2.jpg,data/1_skin_masks/1_P_hgr1_id01_2.bmp
data/1_original_images/1_P_hgr1_id08_1.jpg,data/1_skin_masks/1_P_hgr1_id08_1.bmp
data/1_original_images/1_P_hgr1_id03_2.jpg,data/1_skin_masks/1_P_hgr1_id03_2.bmp
data/1_original_images/1_P_hgr1_id08_2.jpg,data/1_skin_masks/1_P_hgr1_id08_2.bmp
data/1_original_images/1_P_hgr1_id06_1.jpg,data/1_skin_masks/1_P_hgr1_id06_1.bmp
data/1_original_images/1_P_hgr1_id02_1.jpg,data/1_skin_masks/1_P_hgr1_id02_1.bmp
data/1_original_images/1_P_hgr1_id06_2.jpg,data/1_skin_masks/1_P_hgr1_id06_2.bmp
data/1_original_images/1_P_hgr1_id06_3.jpg,data/1_skin_masks/1_P_hgr1_id06_3.bmp
data/1_original_images/1_P_hgr1_id05_2.jpg,data/1_skin_masks/1_P_hgr1_id05_2.bmp
data/1_original_images/1_P_hgr1_id02_2.jpg,data/1_skin_masks/1_P_hgr1_id02_2.bmp
data/1_original_images/1_P_hgr1_id05_1.jpg,data/1_skin_masks/1_P_hgr1_id05_1.bmp
data/1_original_images/1_P_hgr1_id04_1.jpg,data/1_skin_masks/1_P_hgr1_id04_1.bmp
data/1_original_images/1_P_hgr1_id07_2.jpg,data/1_skin_masks/1_P_hgr1_id07_2.bmp
data/1_original_images/1_P_hgr1_id01_3.jpg,data/1_skin_masks/1_P_hgr1_id01_3.bmp
data/1_original_images/1_P_hgr1_id07_3.jpg,data/1_skin_masks/1_P_hgr1_id07_3.bmp
data/1_original_images/1_P_hgr1_id05_3.jpg,data/1_skin_masks/1_P_hgr1_id05_3.bmp
data/1_original_images/1_P_hgr1_id03_1.jpg,data/1_skin_masks/1_P_hgr1_id03_1.bmp
data/1_original_images/1_P_hgr1_id07_1.jpg,data/1_skin_masks/1_P_hgr1_id07_1.bmp
data/1_original_images/3_P_hgr1_id12_1.jpg,data/1_skin_masks/3_P_hgr1_id12_1.bmp
data/1_original_images/5_P_hgr1_id06_2.jpg,data/1_skin_masks/5_P_hgr1_id06_2.bmp
data/1_original_images/3_P_hgr1_id06_2.jpg,data/1_skin_masks/3_P_hgr1_id06_2.bmp
data/1_original_images/3_P_hgr1_id11_3.jpg,data/1_skin_masks/3_P_hgr1_id11_3.bmp
data/1_original_images/5_P_hgr1_id09_1.jpg,data/1_skin_masks/5_P_hgr1_id09_1.bmp
data/1_original_images/3_P_hgr1_id11_1.jpg,data/1_skin_masks/3_P_hgr1_id11_1.bmp
data/1_original_images/2_P_hgr1_id08_3.jpg,data/1_skin_masks/2_P_hgr1_id08_3.bmp
data/1_original_images/3_P_hgr1_id06_3.jpg,data/1_skin_masks/3_P_hgr1_id06_3.bmp
data/1_original_images/3_P_hgr1_id02_2.jpg,data/1_skin_masks/3_P_hgr1_id02_2.bmp
data/1_original_images/2_P_hgr1_id04_1.jpg,data/1_skin_masks/2_P_hgr1_id04_1.bmp
data/1_original_images/4_P_hgr1_id11_1.jpg,data/1_skin_masks/4_P_hgr1_id11_1.bmp
data/1_original_images/3_P_hgr1_id10_1.jpg,data/1_skin_masks/3_P_hgr1_id10_1.bmp
data/1_original_images/3_P_hgr1_id02_1.jpg,data/1_skin_masks/3_P_hgr1_id02_1.bmp
data/1_original_images/4_P_hgr1_id08_3.jpg,data/1_skin_masks/4_P_hgr1_id08_3.bmp
data/1_original_images/3_P_hgr1_id05_1.jpg,data/1_skin_masks/3_P_hgr1_id05_1.bmp
data/1_original_images/3_P_hgr1_id08_3.jpg,data/1_skin_masks/3_P_hgr1_id08_3.bmp
data/1_original_images/5_P_hgr1_id10_1.jpg,data/1_skin_masks/5_P_hgr1_id10_1.bmp
data/1_original_images/1_P_hgr1_id09_3.jpg,data/1_skin_masks/1_P_hgr1_id09_3.bmp
data/1_original_images/3_P_hgr1_id05_3.jpg,data/1_skin_masks/3_P_hgr1_id05_3.bmp
data/1_original_images/4_P_hgr1_id01_3.jpg,data/1_skin_masks/4_P_hgr1_id01_3.bmp
data/1_original_images/3_P_hgr1_id10_3.jpg,data/1_skin_masks/3_P_hgr1_id10_3.bmp
data/1_original_images/4_P_hgr1_id04_2.jpg,data/1_skin_masks/4_P_hgr1_id04_2.bmp
data/1_original_images/4_P_hgr1_id01_1.jpg,data/1_skin_masks/4_P_hgr1_id01_1.bmp
data/1_original_images/2_P_hgr1_id01_2.jpg,data/1_skin_masks/2_P_hgr1_id01_2.bmp
data/1_original_images/5_P_hgr1_id04_2.jpg,data/1_skin_masks/5_P_hgr1_id04_2.bmp
data/1_original_images/3_P_hgr1_id07_1.jpg,data/1_skin_masks/3_P_hgr1_id07_1.bmp
data/1_original_images/3_P_hgr1_id07_2.jpg,data/1_skin_masks/3_P_hgr1_id07_2.bmp
data/1_original_images/4_P_hgr1_id11_3.jpg,data/1_skin_masks/4_P_hgr1_id11_3.bmp
data/1_original_images/4_P_hgr1_id11_2.jpg,data/1_skin_masks/4_P_hgr1_id11_2.bmp
data/1_original_images/4_P_hgr1_id04_1.jpg,data/1_skin_masks/4_P_hgr1_id04_1.bmp
data/1_original_images/1_P_hgr1_id11_2.jpg,data/1_skin_masks/1_P_hgr1_id11_2.bmp
data/1_original_images/3_P_hgr1_id06_1.jpg,data/1_skin_masks/3_P_hgr1_id06_1.bmp
data/1_original_images/2_P_hgr1_id08_2.jpg,data/1_skin_masks/2_P_hgr1_id08_2.bmp
data/1_original_images/4_P_hgr1_id03_1.jpg,data/1_skin_masks/4_P_hgr1_id03_1.bmp
data/1_original_images/4_P_hgr1_id06_2.jpg,data/1_skin_masks/4_P_hgr1_id06_2.bmp
data/1_original_images/1_P_hgr1_id10_3.jpg,data/1_skin_masks/1_P_hgr1_id10_3.bmp
data/1_original_images/2_P_hgr1_id10_2.jpg,data/1_skin_masks/2_P_hgr1_id10_2.bmp
data/1_original_images/4_P_hgr1_id10_2.jpg,data/1_skin_masks/4_P_hgr1_id10_2.bmp
data/1_original_images/4_P_hgr1_id02_2.jpg,data/1_skin_masks/4_P_hgr1_id02_2.bmp
data/1_original_images/2_P_hgr1_id08_4.jpg,data/1_skin_masks/2_P_hgr1_id08_4.bmp
data/1_original_images/3_P_hgr1_id08_1.jpg,data/1_skin_masks/3_P_hgr1_id08_1.bmp
data/1_original_images/5_P_hgr1_id08_2.jpg,data/1_skin_masks/5_P_hgr1_id08_2.bmp
data/1_original_images/1_P_hgr1_id10_2.jpg,data/1_skin_masks/1_P_hgr1_id10_2.bmp
data/1_original_images/5_P_hgr1_id05_1.jpg,data/1_skin_masks/5_P_hgr1_id05_1.bmp
data/1_original_images/4_P_hgr1_id06_3.jpg,data/1_skin_masks/4_P_hgr1_id06_3.bmp
data/1_original_images/1_P_hgr1_id12_1.jpg,data/1_skin_masks/1_P_hgr1_id12_1.bmp
data/1_original_images/2_P_hgr1_id04_2.jpg,data/1_skin_masks/2_P_hgr1_id04_2.bmp
data/1_original_images/4_P_hgr1_id08_2.jpg,data/1_skin_masks/4_P_hgr1_id08_2.bmp
data/1_original_images/5_P_hgr1_id01_2.jpg,data/1_skin_masks/5_P_hgr1_id01_2.bmp
data/1_original_images/4_P_hgr1_id06_1.jpg,data/1_skin_masks/4_P_hgr1_id06_1.bmp
data/1_original_images/4_P_hgr1_id07_2.jpg,data/1_skin_masks/4_P_hgr1_id07_2.bmp
data/1_original_images/5_P_hgr1_id09_2.jpg,data/1_skin_masks/5_P_hgr1_id09_2.bmp
data/1_original_images/3_P_hgr1_id07_3.jpg,data/1_skin_masks/3_P_hgr1_id07_3.bmp
data/1_original_images/3_P_hgr1_id04_1.jpg,data/1_skin_masks/3_P_hgr1_id04_1.bmp
data/1_original_images/4_P_hgr1_id07_3.jpg,data/1_skin_masks/4_P_hgr1_id07_3.bmp
data/1_original_images/4_P_hgr1_id02_1.jpg,data/1_skin_masks/4_P_hgr1_id02_1.bmp
data/1_original_images/3_P_hgr1_id11_2.jpg,data/1_skin_masks/3_P_hgr1_id11_2.bmp
data/1_original_images/5_P_hgr1_id03_1.jpg,data/1_skin_masks/5_P_hgr1_id03_1.bmp
data/1_original_images/5_P_hgr1_id07_2.jpg,data/1_skin_masks/5_P_hgr1_id07_2.bmp
data/1_original_images/4_P_hgr1_id12_1.jpg,data/1_skin_masks/4_P_hgr1_id12_1.bmp
data/1_original_images/4_P_hgr1_id09_3.jpg,data/1_skin_masks/4_P_hgr1_id09_3.bmp
data/1_original_images/2_P_hgr1_id05_2.jpg,data/1_skin_masks/2_P_hgr1_id05_2.bmp
data/1_original_images/2_P_hgr1_id01_1.jpg,data/1_skin_masks/2_P_hgr1_id01_1.bmp
data/1_original_images/3_P_hgr1_id08_2.jpg,data/1_skin_masks/3_P_hgr1_id08_2.bmp
data/1_original_images/5_P_hgr1_id08_3.jpg,data/1_skin_masks/5_P_hgr1_id08_3.bmp
data/1_original_images/2_P_hgr1_id06_3.jpg,data/1_skin_masks/2_P_hgr1_id06_3.bmp
data/1_original_images/1_P_hgr1_id09_1.jpg,data/1_skin_masks/1_P_hgr1_id09_1.bmp
